DATE,target,population,income,gdp,unemployed_rate,mortgage_rate,emratio,permit,labor_percent,monthly_supply,house_st,msp_us,ppi_cement,ppi_concrete,all_const_emp,home_ow_rate,p_saving_rate,new_private_house,new_private_hw_under,uni_michi_sentiment
2020-02-12,20878.80376923077,835.796551724138,63.03448275862069,1261.896551724138,213.97927586206896,60.60689655172414,1451.9655172413793,3.4671428571428575,5.941379310344828,326046.1538461539,253.9,255.02758620689653,1405.103448275862,18793.524137931036,331566.3448275862,9.520689655172415,66.54615384615384,96.48620689655172,1213.7586206896551,3.841379310344828
2020-02-13,20859.096406593406,835.6689655172414,63.01034482758621,1261.0689655172414,214.0474827586207,60.56206896551724,1441.6896551724137,3.47,5.972413793103448,325975.8241758242,253.9,255.14827586206894,1401.9310344827586,18781.51724137931,331570.1034482759,9.686206896551724,66.57582417582418,96.07586206896552,1213.8275862068965,3.8724137931034486
2020-02-14,20839.389043956042,835.5413793103448,62.98620689655172,1260.2413793103449,214.11568965517242,60.51724137931034,1431.4137931034484,3.472857142857143,6.003448275862069,325905.4945054945,253.9,255.26896551724136,1398.7586206896551,18769.510344827588,331573.8620689655,9.851724137931035,66.6054945054945,95.6655172413793,1213.896551724138,3.903448275862069
2020-02-15,20819.68168131868,835.4137931034483,62.96206896551724,1259.4137931034484,214.18389655172413,60.47241379310345,1421.1379310344828,3.475714285714286,6.0344827586206895,325835.16483516485,253.9,255.38965517241377,1395.5862068965516,18757.503448275864,331577.6206896552,10.017241379310345,66.63516483516483,95.2551724137931,1213.9655172413793,3.93448275862069
2020-02-16,20799.974318681318,835.2862068965518,62.93793103448276,1258.5862068965516,214.25210344827588,60.42758620689655,1410.8620689655172,3.4785714285714286,6.06551724137931,325764.83516483515,253.9,255.5103448275862,1392.4137931034484,18745.496551724136,331581.3793103448,10.182758620689656,66.66483516483517,94.84482758620689,1214.0344827586207,3.9655172413793105
2020-02-17,20780.266956043957,835.1586206896552,62.91379310344828,1257.7586206896551,214.3203103448276,60.38275862068966,1400.5862068965516,3.4814285714285718,6.096551724137931,325694.5054945055,253.9,255.63103448275862,1389.2413793103449,18733.489655172412,331585.1379310345,10.348275862068967,66.69450549450549,94.43448275862069,1214.103448275862,3.996551724137931
2020-02-18,20760.559593406593,835.0310344827586,62.88965517241379,1256.9310344827586,214.3885172413793,60.33793103448276,1390.3103448275863,3.4842857142857144,6.127586206896551,325624.1758241758,253.9,255.75172413793103,1386.0689655172414,18721.48275862069,331588.8965517241,10.513793103448275,66.72417582417582,94.02413793103447,1214.1724137931035,4.027586206896552
2020-02-19,20740.85223076923,834.903448275862,62.86551724137931,1256.103448275862,214.45672413793105,60.29310344827586,1380.0344827586207,3.4871428571428575,6.158620689655172,325553.8461538461,253.9,255.87241379310345,1382.896551724138,18709.475862068964,331592.6551724138,10.679310344827586,66.75384615384615,93.61379310344827,1214.2413793103449,4.058620689655172
2020-02-20,20721.14486813187,834.7758620689656,62.84137931034483,1255.2758620689656,214.52493103448276,60.248275862068965,1369.7586206896551,3.49,6.189655172413793,325483.5164835165,253.9,255.99310344827586,1379.7241379310344,18697.46896551724,331596.4137931034,10.844827586206897,66.78351648351648,93.20344827586206,1214.3103448275863,4.089655172413793
2020-02-21,20701.437505494505,834.648275862069,62.817241379310346,1254.448275862069,214.59313793103448,60.203448275862065,1359.4827586206898,3.4842857142857144,6.220689655172413,325413.1868131868,253.9,256.11379310344824,1376.551724137931,18685.462068965517,331600.1724137931,11.010344827586207,66.81318681318682,92.79310344827586,1214.3793103448277,4.120689655172414
